City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Port Elizabeth,ZA,-33.918,25.5701,63.9,66,0,12.75,clear sky
284,Shumskiy,RU,54.8318,99.1328,50.83,96,100,10.74,light rain
285,Esil,KZ,51.9556,66.4042,67.26,27,4,7.83,clear sky
286,Batangafo,CF,7.3008,18.2833,79.68,73,97,4.9,light rain
287,Naryan-Mar,RU,67.6713,53.087,50.34,66,100,11.95,overcast clouds
288,Luganville,VU,-15.5333,167.1667,76.68,81,100,1.88,overcast clouds
289,Fort Nelson,CA,58.8053,-122.7002,50.92,80,100,1.57,overcast clouds
290,Zheleznodorozhnyy,RU,55.7503,38.0042,70.36,54,99,10.36,overcast clouds
291,Lompoc,US,34.6391,-120.4579,56.57,85,90,3.06,mist
292,Mehamn,NO,71.0357,27.8492,42.6,77,95,18.32,overcast clouds
293,Yining,CN,29.0361,114.5636,67.93,71,30,2.28,scattered clouds
294,Nome,US,64.5011,-165.4064,33.87,80,90,4.61,light rain
295,Bantry,IE,51.6833,-9.45,60.28,71,99,6.02,overcast clouds
296,Saint George,US,37.1041,-113.5841,90.36,21,1,4.61,clear sky
297,Qaanaaq,GL,77.484,-69.3632,37.18,76,100,6.17,overcast clouds
298,Evensk,RU,61.95,159.2333,41.65,91,100,1.59,overcast clouds
299,Hithadhoo,MV,-0.6,73.0833,83.39,75,100,15.23,overcast clouds
300,Celestun,MX,20.8667,-90.4,82.53,72,53,11.01,broken clouds
301,Verkhnyaya Inta,RU,65.9811,60.3094,58.55,54,99,12.01,overcast clouds
302,Rondonopolis,BR,-16.4708,-54.6356,87.06,27,78,7.76,broken clouds
303,Sungaipenuh,ID,-2.0833,101.3833,66.54,96,96,0.4,overcast clouds
304,Port Hedland,AU,-20.3167,118.5667,73.45,64,75,3.44,broken clouds
305,Pataias,PT,39.6698,-8.9958,86.81,72,10,13.76,clear sky
306,Cabo San Lucas,MX,22.8909,-109.9124,86.4,47,0,9.44,clear sky
307,Walvis Bay,NA,-22.9575,14.5053,83.12,21,0,4.97,clear sky
