City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Mabaruma,GY,81.27,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
491,Gemena,CD,79.03,light rain,3.25,19.7667,Hôtel Goshen
498,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
499,Tanete,ID,77.0,broken clouds,-3.9443,119.7848,Wisma Tri Multi
501,Raichur,IN,88.03,scattered clouds,16.2,77.3667,Hotel CM Residency
502,Mataram,ID,77.81,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
503,Agadir,MA,79.25,clear sky,30.4202,-9.5982,Iberostar Founty Beach
506,Powell,US,79.83,clear sky,40.1578,-83.0752,The Brig
507,San Fernando,PH,86.14,scattered clouds,15.0286,120.6898,Maharlika Hostel
508,Nanning,CN,77.68,light rain,22.8167,108.3167,Nanning Travelling With Hostel
509,Sioux Falls,US,80.46,few clouds,43.55,-96.7003,"Holiday Inn Sioux Falls-City Centre, an IHG Hotel"
510,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
511,Sambava,MG,77.04,broken clouds,-14.2667,50.1667,Melrose
513,Benjamin Constant,BR,80.73,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
514,Clifton,US,82.2,few clouds,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
518,Sulya,IN,80.64,light rain,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
520,Inirida,CO,79.3,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
523,Syracuse,IT,88.43,overcast clouds,37.0881,15.2792,Hotel Posta
524,Aquiraz,BR,87.89,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
529,Pierre,US,81.0,clear sky,44.3683,-100.351,Ramkota Hotel
530,Cockburn Town,TC,79.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
536,Barreirinha,BR,86.45,clear sky,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
538,Jardim,BR,85.95,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
